drug	InChiKey	synonyms	drugclass
Nelarabine	IXOXBSCIXZEQEQ-UHTZMRCNSA-N	ARRANON;ATRIANCE;NELARABINE	chemo
Decitabine	XAUDJQYHKZQPEU-KVQBGUIXSA-N	DACOGEN;5-AZA-2'-DEOXYCYTIDINE;DECITABINE	targeted
Olaparib	FDLYAMZZIXQODN-UHFFFAOYSA-N	AZD2281;OLAPARIB;LYNPARZA;KU-0059436	targeted
Vorinostat	WAEXFXRVDQXREF-UHFFFAOYSA-N	VORINOSTAT;ZOLINZA;SAHA;MK-0683	targeted
Aminoglutethimide	ROBVIMPUHSLWNV-UHFFFAOYSA-N	AMINOGLUTETHIMIDE;CYTADREN	targeted
Bexarotene	NAVMQTYZDKMPEU-UHFFFAOYSA-N	BEXAROTENE;TARGRETIN	targeted
Bicalutamide	LKJPYSCBVHEWIU-UHFFFAOYSA-N	BICALUTAMIDE;CASODEX;COSUDEX;CALUTIDE;KALUMID	targeted
Capecitabine	GAGWJHPBXLXJQN-UORFTKCHSA-N	XELODA;CAPECITABINE	chemo
Methylprednisolone	VHRSUDSXCMQTMA-PJHHCJLFSA-N	METHYLPREDNISOLONE;MEDROL	targeted
Prednisolone	OIGNJSKKLXVSLS-VWUMJDOOSA-N	PRED;INFLAMASE;PREDNISOLONE	targeted
Dexamethasone	UREBDLICKHMUKA-CXSFZGCWSA-N	DEXAMETHASONE;DECADRON;DEXPAK	targeted
Tacrolimus	QJJXYPPXXYFBGM-LFZNUXCKSA-N	FK-506;TACROLIMUS;PROGRAF;ADVAGRAF;PROTOPIC	targeted
Everolimus	HKVAMNSJSFKALM-GKUWKFKPSA-N	EVEROLIMUS;RAD001;SDZ-RAD;NVP-RAD001;AFINITOR;CERTICAN;ZORTRESS	targeted
Sirolimus	QFJCIRLUMZQUOT-HPLJOQBZSA-N	SIROLIMUS;RAPAMYCIN;RAPAMUNE	targeted
Rucaparib	HMABYWSNWIZPAG-UHFFFAOYSA-N	RUCAPARIB;AG-014699;RUBRACA;AG-014447;PF-01367338	targeted
Carfilzomib	BLMPQMFVWMYDKT-NZTKNTHTSA-N	KYPROLIS;CARFILZOMIB	targeted
Pomalidomide	UVSMNLNDYGZFPF-UHFFFAOYSA-N	POMALYST;POMALIDOMIDE;CC-4047;3-AMINO-THALIDOMIDE	targeted
Vincristine	OGWKCGZFUXNPDA-XQKSVPLYSA-N	VINCRISTINE;ONCOVIN	chemo
Bortezomib	GXJABQQUPOEUTA-DOTOQJQBSA-N	MS-341;PS-341;VELCADE;CYTOMIB;BORTEZOMIB	targeted
Bimatoprost	AQOKCDNYWBIDND-FTOWTWDKSA-N	LATISSE;LUMIGAN;PROSTAMIDE;BIMATOPROST;AGN 192024	targeted
Bleomycin	OYVAGSVQBOHSSS-UAPAGMARSA-O	BLEOMYCIN;BLENOXANE	chemo
Auranofin	AUJRCFUBUPVWSZ-XTZHGVARSA-M	AURANOFIN;RIDAURA	chemo
Plicamycin	CFCUWKMKBJTWLW-BGLFSJPPSA-N	MITHRACIN;PLICAMYCIN;MITHRAMYCIN A	chemo
Lenalidomide	GOTYRUGSSMKFNF-UHFFFAOYSA-N	LENALIDOMIDE;CC-5013;REVLIMID	targeted
Vinorelbine	GBABOYUKABKIAF-IELIFDKJSA-N	NAVELBINE;VINORELBINE	chemo
Temsirolimus	CBPNZQVSJQDFBE-FUXHJELOSA-N	CCI-779;TORISEL;TEMSIROLIMUS	targeted
Temozolomide	BPEGJWRSRHCHSN-UHFFFAOYSA-N	SCH 52365;TEMOZOLOMIDE;TEMODAL;TEMODAR	chemo
Ixazomib	MXAYKZJJDUDWDS-LBPRGKRZSA-N	IXAZOMIB;MLN2238	targeted
Amsacrine	VSQQQLOSPVPRAZ-RRKCRQDMSA-N	AMSACRINE;AMSIDINE;ACRIDINYL ANISIDIDE	chemo
SN-38	ISWRGOKTTBVCFA-UHFFFAOYSA-N	BR-36613;7-ETHYL-10-HYDROXYCAMPTOTHECINE;SN-38	chemo
Raltitrexed	LTMHDMANZUZIPE-PUGKRICDSA-N	RALTITREXED;ICI-D 1694;ZD1694;TOMUDEX	chemo
