DRUG_NAME,CONCENTRATION,SCREEN_NAME,PERCENT_INHIBITION
FIMM000227,10000,FH_4739_16102018_9999_BM,0.4952
FIMM000227,1000,FH_4739_16102018_9999_BM,0.5449
FIMM000227,100,FH_4739_16102018_9999_BM,0.6816
FIMM000227,10,FH_4739_16102018_9999_BM,0.8508
FIMM000227,1,FH_4739_16102018_9999_BM,0.9171
FIMM000262,10000,FH_4739_16102018_9999_BM,0.4793
FIMM000262,1000,FH_4739_16102018_9999_BM,0.819
FIMM000262,100,FH_4739_16102018_9999_BM,0.8183
FIMM000262,10,FH_4739_16102018_9999_BM,0.8686
FIMM000262,1,FH_4739_16102018_9999_BM,0.9453
FIMM000249,10000,FH_4739_16102018_9999_BM,1.009
FIMM000249,1000,FH_4739_16102018_9999_BM,0.9888
FIMM000249,100,FH_4739_16102018_9999_BM,0.9772
FIMM000249,10,FH_4739_16102018_9999_BM,0.9404
FIMM000249,1,FH_4739_16102018_9999_BM,1.1035
FIMM000171,10000,FH_4739_16102018_9999_BM,0.8824
FIMM000171,1000,FH_4739_16102018_9999_BM,0.9108
FIMM000171,100,FH_4739_16102018_9999_BM,1.0475
FIMM000171,10,FH_4739_16102018_9999_BM,1.0141
FIMM000171,1,FH_4739_16102018_9999_BM,1.0148
FIMM000255,10000,FH_4739_16102018_9999_BM,0.9013
FIMM000255,1000,FH_4739_16102018_9999_BM,1.0582
FIMM000255,100,FH_4739_16102018_9999_BM,1.1275
FIMM000255,10,FH_4739_16102018_9999_BM,1.0022
FIMM000255,1,FH_4739_16102018_9999_BM,1.0538
FIMM000172,10000,FH_4739_16102018_9999_BM,0.9461
FIMM000172,1000,FH_4739_16102018_9999_BM,1.0324
FIMM000172,100,FH_4739_16102018_9999_BM,1.1364
FIMM000172,10,FH_4739_16102018_9999_BM,1.0217
FIMM000172,1,FH_4739_16102018_9999_BM,1.1534
FIMM000160,10000,FH_4739_16102018_9999_BM,0.408
FIMM000160,1000,FH_4739_16102018_9999_BM,0.9045
FIMM000160,100,FH_4739_16102018_9999_BM,1.0664
FIMM000160,10,FH_4739_16102018_9999_BM,0.89
FIMM000160,1,FH_4739_16102018_9999_BM,1.0148
FIMM000183,10000,FH_4739_16102018_9999_BM,0.3828
FIMM000183,1000,FH_4739_16102018_9999_BM,0.9133
FIMM000183,100,FH_4739_16102018_9999_BM,0.8717
FIMM000183,10,FH_4739_16102018_9999_BM,0.9247
FIMM000183,1,FH_4739_16102018_9999_BM,0.9694
FIMM000176,10000,FH_4739_16102018_9999_BM,1.0078
FIMM000176,1000,FH_4739_16102018_9999_BM,0.9423
FIMM000176,100,FH_4739_16102018_9999_BM,1.0129
FIMM000176,10,FH_4739_16102018_9999_BM,0.8976
FIMM000176,1,FH_4739_16102018_9999_BM,1.0696
FIMM000173,1000,FH_4739_16102018_9999_BM,0.0614
FIMM000173,100,FH_4739_16102018_9999_BM,0.5256
FIMM000173,10,FH_4739_16102018_9999_BM,0.6689
FIMM000173,1,FH_4739_16102018_9999_BM,1.1344
FIMM000173,0.1,FH_4739_16102018_9999_BM,1.2519
